"protein","ligand","model_id","energy","cx","cy","cz"
"1A3N","2_3_BPG",71,-8.36,-0.26,-0.418666666666667,-0.330666666666667
"1A3N","2_3_BPG",72,-7.49,-0.231333333333333,-0.386666666666667,-0.330666666666667
"1A3N","2_3_BPG",73,-7.91,-0.238666666666667,-0.408666666666667,-0.330666666666667
"1A3N","2_3_BPG",74,-7.95,-0.251333333333333,-0.398666666666667,-0.330666666666667
"1A3N","2_3_BPG",75,-7.96,-0.237333333333333,-0.41,-0.330666666666667
"1A3N","2_3_BPG",76,-7.6,-0.204,-0.421333333333333,-0.330666666666667
"1A3N","2_3_BPG",77,-8.05,-0.174,-0.484,-0.330666666666667
"1A3N","2_3_BPG",78,-8.82,-0.33,-0.375333333333333,-0.330666666666667
"1A3N","2_3_BPG",79,-7.15,-0.22,-0.377333333333333,-0.330666666666667
"1A3N","2_3_BPG",80,-7.41,-0.229333333333333,-0.383333333333333,-0.330666666666667
"1A3N","2_3_BPG",81,-6.99,-0.174666666666667,-0.412666666666667,-0.330666666666667
"1A3N","2_3_BPG",82,-7.76,-0.210666666666667,-0.426666666666667,-0.330666666666667
"1A3N","2_3_BPG",83,-7.13,-0.210666666666667,-0.382666666666667,-0.330666666666667
"1A3N","2_3_BPG",84,-8.86,-0.287333333333333,-0.423333333333333,-0.330666666666667
"1A3N","2_3_BPG",85,-7.19,-0.226666666666667,-0.372,-0.330666666666667
"1A3N","2_3_BPG",86,-7.44,-0.237333333333333,-0.378666666666667,-0.330666666666667
"1A3N","2_3_BPG",87,-8.08,-0.188,-0.470666666666667,-0.330666666666667
"1A3N","2_3_BPG",88,-7.87,-0.236,-0.408,-0.330666666666667
"1A3N","2_3_BPG",89,-7.74,-0.215333333333333,-0.421333333333333,-0.330666666666667
"1A3N","2_3_BPG",90,-7.97,-0.189333333333333,-0.460666666666667,-0.330666666666667
"1A3N","2_3_BPG",91,-7.46,-0.214,-0.403333333333333,-0.330666666666667
"1A3N","2_3_BPG",92,-7.97,-0.222,-0.428666666666667,-0.330666666666667
"1A3N","2_3_BPG",93,-7.82,-0.234666666666667,-0.406666666666667,-0.330666666666667
"1A3N","2_3_BPG",94,-7.96,-0.172666666666667,-0.478666666666667,-0.330666666666667
"1A3N","2_3_BPG",95,-8.65,-0.296666666666667,-0.397333333333333,-0.330666666666667
"1A3N","2_3_BPG",96,-8.95,-0.281333333333333,-0.438,-0.330666666666667
"1A3N","2_3_BPG",97,-7.98,-0.192666666666667,-0.457333333333333,-0.330666666666667
"1A3N","2_3_BPG",98,-7.43,-0.220666666666667,-0.394666666666667,-0.330666666666667
"1A3N","2_3_BPG",99,-7.83,-0.162,-0.479333333333333,-0.330666666666667
"1A3N","2_3_BPG",100,-8.02,-0.184,-0.469333333333333,-0.330666666666667
