"protein","ligand","model_id","energy","cx","cy","cz"
"mut_K82N","2_3_BPG",67,-5.75,-0.145333333333333,-0.358666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",68,-6.37,-0.268,-0.273333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",69,-6.04,-0.156666666666667,-0.365333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",70,-6.11,-0.164666666666667,-0.363333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",71,-6.14,-0.169333333333333,-0.359333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",72,-6.27,-0.175333333333333,-0.362,-0.330666666666667
"mut_K82N","2_3_BPG",73,-6.48,-0.248666666666667,-0.303333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",74,-6.63,-0.256666666666667,-0.305333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",75,-6.08,-0.164,-0.360666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",76,-6.2,-0.177333333333333,-0.354666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",77,-6.28,-0.176666666666667,-0.361333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",78,-6.04,-0.179333333333333,-0.344,-0.330666666666667
"mut_K82N","2_3_BPG",79,-6.3,-0.166,-0.374,-0.330666666666667
"mut_K82N","2_3_BPG",80,-6.21,-0.165333333333333,-0.368,-0.330666666666667
"mut_K82N","2_3_BPG",81,-6.05,-0.181333333333333,-0.340666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",82,-6.96,-0.277333333333333,-0.306666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",83,-6.04,-0.174666666666667,-0.348,-0.330666666666667
"mut_K82N","2_3_BPG",84,-6.04,-0.164666666666667,-0.356666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",85,-6.18,-0.168,-0.363333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",86,-6.21,-0.162666666666667,-0.371333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",87,-6.19,-0.162666666666667,-0.371333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",88,-5.98,-0.158666666666667,-0.358666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",89,-6.03,-0.167333333333333,-0.354,-0.330666666666667
"mut_K82N","2_3_BPG",90,-6.57,-0.261333333333333,-0.296,-0.330666666666667
"mut_K82N","2_3_BPG",91,-5.78,-0.152666666666667,-0.352,-0.330666666666667
"mut_K82N","2_3_BPG",92,-6.15,-0.176666666666667,-0.352666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",93,-6.08,-0.163333333333333,-0.362666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",94,-6.08,-0.179333333333333,-0.348666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",95,-6.15,-0.158,-0.37,-0.330666666666667
"mut_K82N","2_3_BPG",96,-6.13,-0.172,-0.356666666666667,-0.330666666666667
"mut_K82N","2_3_BPG",97,-6.24,-0.25,-0.284,-0.330666666666667
"mut_K82N","2_3_BPG",98,-6.07,-0.163333333333333,-0.359333333333333,-0.330666666666667
"mut_K82N","2_3_BPG",99,-6.09,-0.158666666666667,-0.366,-0.330666666666667
"mut_K82N","2_3_BPG",100,-6.17,-0.181333333333333,-0.348,-0.330666666666667
